Fighter,Wins,Losses,KOs,KO_Losses,First_KO_Loss_Date,Post_KO_Win_%
Willie Pep,11,3,5,1,1948-10-29,57.14285714285714
Beau Jack,2,3,1,1,1948-07-12,0.0
Tippy Larkin,2,1,0,1,1942-12-18,66.66666666666666
Kenny Lindsay,0,2,0,1,1946-05-25,0.0
Jackie Callura,2,2,0,2,1943-08-16,0.0
George Freitas,0,1,0,1,1943-01-27,0.0
Lupe Cordoza,0,1,0,1,1943-04-28,0.0
Bob Montgomery,4,2,2,1,1947-08-04,0.0
Joe Robleto,0,2,0,1,1943-07-12,0.0
Sal Bartolo,4,2,1,1,1946-06-07,0.0
Jackie Paterson,2,1,1,1,1948-03-23,0.0
Phil Terranova,2,3,2,0,,
Leonardo Lopez,0,1,0,1,1943-10-01,0.0
Slugger White,0,1,0,0,,
Benny Goldberg,0,1,0,0,,
Juan Zurita,1,1,0,1,1945-04-18,0.0
Ernesto Aguilar,0,1,0,0,,
Luis Castillo,0,3,0,3,1944-09-12,0.0
Johnny Davis,0,2,0,2,1944-11-14,0.0
Willie Roache,0,1,0,0,,
Ike Williams,9,1,6,1,1951-05-25,0.0
Marty Servo,1,0,1,0,,
Willie Joyce,0,2,0,0,,
Enrique Bolanos,0,3,0,1,1949-07-21,0.0
Freddie Mills,1,2,0,2,1946-05-14,33.33333333333333
Joe Curran,0,1,0,0,,
Ronnie James,0,1,0,1,1946-09-04,0.0
Rocky Graziano,1,3,1,3,1946-09-27,25.0
Wesley Mouzon,0,1,0,1,1946-11-26,0.0
Sugar Ray Robinson,14,7,7,0,,
Tommy Bell,0,1,0,0,,
Harold Dade,1,1,0,0,,
Billy Fox,0,2,0,2,1947-02-28,0.0
David Kui Kong Young,0,1,0,0,,
Jimmy Doyle,0,1,0,1,1947-06-24,0.0
Jock Leslie,0,1,0,1,1947-08-22,0.0
Rinty Monaghan,3,0,1,0,,
Dado Marino,2,4,0,0,,
Jersey Joe Walcott,2,6,1,3,1948-06-25,28.57142857142857
Chuck Taylor,0,1,0,1,1947-12-19,0.0
Tirso Del Rosario,0,1,0,0,,
Humberto Sierra,0,1,0,1,1948-02-24,0.0
Bernard Docusen,0,1,0,0,,
Memo Valero,0,1,0,1,1948-07-04,0.0
Marcel Cerdan,1,1,0,0,,
Jesse Flores,0,1,0,1,1948-09-23,0.0
Sandy Saddler,8,1,4,0,,
Maurice Sandeyron,0,1,0,0,,
Jake LaMotta,3,1,1,1,1951-02-14,0.0
Ezzard Charles,9,4,4,2,1951-07-18,0.0
Kid Gavilan,8,3,2,0,,
Eddie Compo,0,1,0,1,1949-09-20,0.0
Pat Valentino,0,1,0,1,1949-10-14,0.0
Freddie Dawson,0,1,0,0,,
Orlando Zulueta,0,2,0,1,1957-06-19,0.0
Charley Riley,0,1,0,1,1950-01-16,0.0
Joey Maxim,3,4,1,0,,
Ray Famechon,0,1,0,0,,
Lauro Salas,1,3,0,1,1950-04-18,25.0
Terry Allen,1,3,0,0,,
Honore Pratesi,0,1,0,0,,
Vic Toweel,4,2,1,2,1952-11-15,0.0
Tiberio Mitri,0,1,0,0,,
Charley Fusari,0,2,0,0,,
Freddie Beshore,0,1,0,1,1950-08-15,0.0
Laurent Dauthuille,0,1,0,1,1950-09-13,0.0
Danny O'Sullivan,0,1,0,1,1950-12-02,0.0
Nick Barone,0,1,0,1,1950-12-05,0.0
Lee Oma,0,1,0,1,1951-01-12,0.0
Diego Sosa,0,1,0,1,1951-02-28,0.0
Johnny Bratton,1,2,0,0,,
Jimmy Carter,8,4,5,0,,
Randolph Turpin,1,2,0,0,,
Bob Murphy,0,1,0,0,,
Billy Graham,0,2,0,0,,
Art Aragon,0,1,0,0,,
Luis Romero,0,1,0,0,,
Peter Keenan,0,1,0,0,,
Bobby Dykes,0,1,0,0,,
Bobo Olson,4,4,1,3,1955-06-22,0.0
Yoshio Shirai,5,2,0,1,1955-05-30,0.0
Gil Turner,0,1,0,1,1952-07-07,0.0
Rocky Marciano,7,0,6,0,,
Jimmy Carruthers,4,0,2,0,,
Archie Moore,10,2,6,2,1955-09-21,71.42857142857143
Chuck Davey,0,1,0,1,1953-02-11,0.0
Tommy Collins,0,1,0,1,1953-04-24,0.0
Tanny Campo,0,1,0,0,,
George Araujo,0,1,0,1,1953-06-12,0.0
Carmen Basilio,5,6,4,2,1959-08-28,0.0
Roland LaStarza,0,1,0,1,1953-09-24,0.0
Armand Savoie,0,1,0,1,1953-11-11,0.0
Pappy Gault,0,1,0,0,,
Paddy DeMarco,1,1,0,1,1954-11-17,0.0
Chamroen Songkitrat,0,3,0,1,1955-03-09,0.0
Leo Espinosa,0,3,0,1,1956-03-25,0.0
Harold Johnson,5,2,2,1,1954-08-11,71.42857142857143
Rocky Castellani,0,1,0,0,,
Robert Cohen,1,1,0,1,1956-06-29,0.0
Johnny Saxton,2,3,0,3,1955-04-01,25.0
Pascual Perez,10,2,5,1,1960-09-22,0.0
Pierre Langlois,0,1,0,1,1954-12-15,0.0
Teddy Davis,0,1,0,0,,
Raul Macias,3,1,3,0,,
Tony DeMarco,1,4,1,4,1955-06-10,0.0
